SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPCC162.10,527.0930083,4.512951307,0.987879415,4.568322044,4.92E-06,0.000145854
SPCC1753.02c,20665.6308,12.35700828,0.62587006,19.74372808,9.08E-87,3.54E-84
SPCC18.15,62.69495627,2.432684346,0.654594097,3.716324907,0.000202142,0.004312816
SPCC18.17c,1949.940574,9.420656884,0.873767305,10.78165414,4.20E-27,7.70E-25
SPCC1827.04,1121.165495,6.029139305,0.981693383,6.141570685,8.17E-10,4.17E-08
SPCC191.09c,2561.229731,6.237428907,0.854241118,7.301719359,2.84E-13,2.01E-11
SPCC1919.05,2659.223731,8.28809894,0.857909389,9.660809231,4.42E-22,5.51E-20
SPCC23B6.03c,1755.426103,5.0976754,1.405329,3.627389315,0.000286301,0.005753735
SPCC285.10c,3203.743211,5.872685049,1.560060551,3.764395585,0.000166952,0.003611505
SPCC417.06c,11680.02474,8.335474423,0.78947961,10.55818836,4.66E-26,7.63E-24
SPCC4B3.15,4025.626085,6.600911115,1.630026763,4.04957223,5.13E-05,0.001229499
SPCC550.01c,23.43816036,2.114886699,0.597365876,3.540354051,0.000399591,0.007589784
SPCC550.03c,232.7610619,6.010843369,1.037989647,5.790850985,7.00E-09,3.07E-07
SPCC550.12,15327.2897,9.160257261,0.848174078,10.79997314,3.44E-27,6.70E-25
SPCC553.03,1056.050238,4.846302248,1.373836499,3.527568421,0.000419395,0.007917676
SPCC576.13,11894.18476,9.659059082,0.776054052,12.44637415,1.46E-35,3.80E-33
SPCC584.15c,2643.01834,6.351553914,1.736805066,3.657033272,0.000255151,0.005263551
SPCC736.09c,1820.80924,6.059640093,0.849490561,7.133263594,9.80E-13,6.36E-11
SPCC74.06,10195.46936,9.583700833,0.628760132,15.24222091,1.85E-52,5.25E-50
SPCC794.11c,3443.040885,8.023133493,1.041078355,7.706560658,1.29E-14,1.12E-12
SPCC962.04,15.07026803,2.960550396,0.710418649,4.167332038,3.08E-05,0.000780486
SPCC970.05,38.71060835,3.795823268,0.724063169,5.242392419,1.59E-07,5.78E-06
SPCC970.06,11459.46009,8.427334265,0.730995467,11.52857253,9.47E-31,2.27E-28
SPCP1E11.02,35038.95364,9.097894348,1.969496382,4.619401402,3.85E-06,0.000116389
SPCP1E11.09c,346.6791639,5.792218147,1.030637213,5.620035911,1.91E-08,7.83E-07
SPCPB16A4.06c,2171.913407,5.431991068,1.305053422,4.162274873,3.15E-05,0.000785211
