SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPBC14F5.09c,36.30986304,-4.40472768,0.723538503,-6.08775851,1.15E-09,1.49E-08
SPBC1539.06,58.67369002,-3.843988885,0.535205873,-7.182262151,6.86E-13,1.84E-11
SPBC1539.08,93.76250475,-3.016669364,0.552193472,-5.463065967,4.68E-08,3.86E-07
SPBC1539.10,34.97735099,-2.582741874,0.739799675,-3.491136804,0.00048097,0.001552561
SPBC15D4.09c,51.88717623,-4.348965818,0.702853753,-6.187582839,6.11E-10,8.50E-09
SPBC15D4.10c,48.4753363,-3.82583403,0.827877134,-4.621258245,3.81E-06,2.08E-05
SPBC1604.07,24.32546086,-4.485002288,1.146125967,-3.913184431,9.11E-05,0.000353345
SPBC1604.08c,31.45914998,-4.321218278,0.791692309,-5.458204192,4.81E-08,3.92E-07
SPBC1604.11,23.52816902,-2.518650361,0.746568269,-3.373637033,0.000741821,0.002281118
SPBC1604.18c,50.68575681,-3.553934638,0.529657214,-6.709876767,1.95E-11,3.68E-10
SPBC16A3.19,75.6513901,-2.276165174,0.376856914,-6.039865768,1.54E-09,1.91E-08
SPBC16C6.03c,41.0206501,-4.004926369,0.625055501,-6.407313213,1.48E-10,2.35E-09
SPBC16E9.13,202.9802781,-3.329002549,0.252659501,-13.17584549,1.21E-39,1.52E-36
SPBC16H5.08c,36.30238362,-5.405079022,1.017683756,-5.311157804,1.09E-07,8.12E-07
SPBC16H5.12c,160.1457474,-3.325482954,0.411955833,-8.072425939,6.89E-16,3.30E-14
SPBC16H5.13,72.14361665,-3.889749859,0.544130847,-7.148556049,8.77E-13,2.26E-11
SPBC1709.05,19.46458352,-3.702467179,1.173997005,-3.153727959,0.001611993,0.004506118
SPBC1711.03,27.98483674,-5.539175389,1.033200279,-5.361182628,8.27E-08,6.34E-07
SPBC1711.05,60.89218296,-4.317135144,0.544746081,-7.92504122,2.28E-15,9.60E-14
SPBC1718.03,23.74657285,-4.284141186,1.237400862,-3.462209636,0.00053576,0.00170295
SPBC1718.07c,28.8543819,-3.847045174,0.968733513,-3.971210989,7.15E-05,0.000285574
SPBC1778.05c,85.60941084,-2.038458274,0.3846835,-5.299053055,1.16E-07,8.65E-07
SPBC17A3.05c,23.1060585,-3.799315973,0.869108296,-4.371510422,1.23E-05,5.95E-05
SPBC17A3.09c,16.06265502,-5.361672605,1.346849196,-3.980900476,6.87E-05,0.00027702
SPBC17A3.10,83.83116055,-2.508244892,0.402249668,-6.235542482,4.50E-10,6.46E-09
SPBC17D1.02,49.03075403,-4.240877717,0.651780331,-6.50660585,7.69E-11,1.27E-09
SPBC1861.02,143.8951207,-3.078399845,0.490789243,-6.272345796,3.56E-10,5.25E-09
SPBC1861.05,39.76643813,-6.684252345,1.154307309,-5.790704343,7.01E-09,7.13E-08
SPBC18E5.05c,36.2092595,-5.055900916,1.038049997,-4.87057553,1.11E-06,6.89E-06
SPBC18H10.04c,31.13353799,-4.370862119,1.02167701,-4.278125158,1.88E-05,8.75E-05
SPBC18H10.07,20.34402853,-5.256701764,1.153607141,-4.556752101,5.20E-06,2.75E-05
SPBC1921.07c,58.91510646,-2.165958149,0.483873937,-4.476286035,7.60E-06,3.90E-05
SPBC19C2.14,45.03871062,-4.340239616,0.853531913,-5.08503496,3.68E-07,2.48E-06
SPBC19C7.02,18.33472949,-3.817465701,0.998301456,-3.823960866,0.000131325,0.000486996
SPBC19G7.03c,154.9937052,-4.169593804,0.470334661,-8.865163792,7.64E-19,5.41E-17
SPBC19G7.07c,42.69310288,-3.900890636,0.635594774,-6.137386261,8.39E-10,1.13E-08
SPBC1A4.02c,52.41919704,-3.113862142,0.785595799,-3.963695,7.38E-05,0.000292716
SPBC1A4.04,41.26944509,-4.314316568,0.703815297,-6.129898829,8.79E-10,1.17E-08
SPBC1A4.05,92.50278147,-2.09126154,0.562426921,-3.718281369,0.000200583,0.000712446
SPBC215.05,114.8010467,-2.710196112,0.596165247,-4.546048476,5.47E-06,2.87E-05
SPBC215.08c,52.77592153,-3.01407953,0.707146894,-4.262310358,2.02E-05,9.27E-05
SPBC216.01c,127.2733243,-2.889370074,0.434875797,-6.64412712,3.05E-11,5.56E-10
SPBC216.03,235.2485568,-2.124500026,0.291352285,-7.29185985,3.06E-13,8.82E-12
SPBC21B10.03c,23.37607575,-3.566213576,0.834391039,-4.274031492,1.92E-05,8.86E-05
SPBC21B10.13c,37.72239212,-2.394157072,0.594450135,-4.027515395,5.64E-05,0.000232879
SPBC21C3.20c,31.06786707,-3.101237423,0.733775438,-4.226412144,2.37E-05,0.000106424
SPBC21D10.10,94.11041512,-2.684675789,0.374931603,-7.16044144,8.04E-13,2.10E-11
SPBC21H7.04,23.46493845,-5.935458568,1.247276712,-4.758734377,1.95E-06,1.13E-05
