Gene,FC_2d,FC_21d
SPCC1322.07c,0.714266,1.77653
SPBC1773.02c,0.606791,1.869437
SPAC22G7.08,0.527648,1.731716
SPCC13B11.03c,0.360098,1.790338
SPBC8D2.02c,0.377373,1.981502
SPBC23G7.08c,0.373171,1.949868
SPCC576.16c,0.785317,2.645279
SPAC1039.04,0.500009,2.45287
SPAC31A2.05c,1.1581,1.034619
SPBC409.23,1.151627,1.002279
SPCC1494.01,1.146764,1.018486
SPBC215.04,1.096149,1.042387
SPCC1902.02,1.076454,1.04271
SPAC24B11.10c,1.095293,1.089168
SPBC646.17c,1.070597,1.073621
SPAC688.07c,1.041678,1.017671
SPBP35G2.14,1.023255,1.014847
SPAPB24D3.02c,1.006204,1.017306
SPAC15A10.11,1.119702,1.158249
SPBC17D11.08,1.109795,1.117399
SPCC4E9.01c,1.05388,1.132993
SPAC30.04c,1.10544,1.212693
SPBC11C11.11c,1.096229,1.216139
SPBP26C9.02c,1.073464,1.228102
SPAC3F10.15c,1.056191,1.216188
SPAC4F8.10c,1.047776,1.225172
SPAC12G12.09,0.984978,1.096207
SPAPB1E7.05,0.974094,1.08264
SPCC162.06c,0.942266,1.12402
SPBC713.02c,0.945449,1.156838
SPCC14G10.04,0.930418,1.14607
SPBC12C2.02c,0.962016,1.034475
SPAC15E1.09,0.913608,1.014777
SPCC24B10.02c,0.939666,1.079892
SPAC3H8.09c,0.913221,1.082192
SPBC1706.01,0.905427,1.078566
SPBC1734.08,0.888752,1.052101
SPAC4G9.04c,0.887534,1.064802
SPAPB1A10.13,0.887148,1.109203
SPBC119.07,1.030301,1.22126
SPBC106.18,1.025238,1.18056
SPBP4H10.07,0.978957,1.211659
SPBC26H8.12,0.975261,1.172242
SPAC8F11.10c,1.040514,1.258745
SPBC36B7.09,1.01871,1.262311
SPBC106.02c,1.015141,1.253357
SPBC354.06,0.994546,1.307851
SPBC1347.12,0.977144,1.291041
SPAC167.05,0.958679,1.290008
SPAC2F7.03c,0.944703,1.253663
SPCC1235.06,0.935184,1.270018
SPBC1773.17c,0.931695,1.274323
SPBC887.07,0.916475,1.236321
SPBC651.06,0.887045,1.174157
SPCC23B6.03c,0.883777,1.19629
SPAC11E3.02c,0.865257,1.156666
SPCC895.05,0.878907,1.244373
SPBC83.01,0.864563,1.27817
SPAC6G9.16c,0.842858,1.273243
SPAC19A8.03,0.824186,1.277252
SPCC777.02,0.839596,1.205224
SPCC364.02c,0.816861,1.22896
SPBC405.02c,0.815948,1.244263
SPCC663.02,0.856347,1.075625
SPAC31G5.19,0.848271,1.074229
SPAC6F6.15,0.829482,1.065314
SPBC17G9.08c,0.821215,1.126572
SPBP23A10.13,0.794866,1.0854
SPBC211.04c,0.780995,1.105394
SPCC4G3.10c,0.817846,1.015745
SPAC1039.02,0.817206,1.021627
SPCC962.06c,0.813681,1.001152
SPAC6B12.08,0.798273,1.003647
SPAC664.05,0.804559,1.052334
SPBC11B10.10c,0.800094,1.030528
SPCC1020.05,0.755286,1.045371
SPBC216.06c,0.728702,1.038215
SPBP23A10.11c,0.717976,1.001518
SPAC10F6.06,0.687384,1.030797
SPBC16D10.05,0.713257,1.154911
SPAC9E9.05,0.677244,1.167323
SPAC869.02c,0.682971,1.087919
SPBC15D4.07c,0.644575,1.130523
SPBC2A9.04c,0.631723,1.174791
SPAC3A11.07,0.612732,1.150199
SPBC947.05c,0.612089,1.219644
SPCC663.18,0.577315,1.150215
SPAC688.10,0.567939,1.175077
SPAC3F10.07c,0.65343,1.029258
SPCC306.03c,0.647606,1.000786
SPCC970.09,0.599761,1.014082
SPCC645.03c,0.579789,1.02288
SPAC105.01c,0.526469,1.011436
SPAP14E8.04,0.508148,1.011345
SPCC74.02c,0.498029,1.142812
SPAC664.12c,0.495138,1.096619
SPAC4C5.01,1.071793,1.480687
SPCC417.11c,1.059808,1.527349
SPAC6F12.03c,1.019168,1.486132
SPBC14F5.11c,0.984604,1.473632
SPAC1556.01c,1.007654,1.408441
SPAC29B12.07,0.967046,1.426688
SPBC16C6.04,0.987995,1.361441
SPAC328.08c,0.964744,1.362253
SPBC947.10,0.965806,1.387631
SPBC646.13,0.937812,1.365369
SPBC4C3.12,0.934897,1.336218
SPAC25G10.03,0.896221,1.365982
SPBC1198.13c,0.880538,1.350163
SPAC17A2.12,0.859213,1.341883
SPAC1B3.01c,0.860867,1.421695
SPAC23A1.14c,0.855373,1.390353
SPAPB15E9.06,0.922828,1.469576
SPAC3A11.09,0.919268,1.435545
SPAC607.09c,0.910853,1.42325
SPAC22F3.13,0.88512,1.501284
SPAC1527.01,0.873384,1.490223
SPBC17G9.13c,0.827823,1.485265
SPAC19B12.10,0.856951,1.616528
SPCC1884.02,0.816156,1.671512
SPAC11H11.05c,0.794092,1.701169
SPAC20G8.10c,0.714926,1.579103
SPBC19C7.10,0.670371,1.539423
SPBC800.14c,0.775084,1.381402
SPAC29E6.08,0.75778,1.473816
SPAC10F6.07c,0.6918,1.416401
SPCC1620.09c,0.715048,1.355218
SPAC10F6.11c,0.701025,1.369962
SPBC13G1.05,0.683498,1.325517
SPCC777.15,0.712766,1.281098
SPAP11E10.02c,0.658572,1.267567
SPBC1778.02,0.618357,1.333541
SPAC1327.01c,0.610864,1.33448
SPBC1773.05c,0.610473,1.28584
SPAC16E8.03,0.524999,1.475564
SPAC1805.16c,0.414223,1.535974
SPCC1919.12c,0.545427,1.227097
SPBC16D10.04c,0.503328,1.223653
SPAC1F7.12,0.47511,1.190992
SPCC18B5.11c,0.437146,1.259478
SPAC1F8.08,0.447281,1.358204
SPBC1773.16c,0.430704,1.353221
SPBP26C9.03c,0.342735,1.280923
SPAC23H4.02,0.341112,1.311454
SPCC794.03,0.302195,1.237944
SPAC4G9.20c,0.272247,1.240092
SPAC1399.06,0.267341,1.252836
SPBC685.03,0.328436,1.375906
SPAC22G7.07c,0.3187,1.395358
SPCC285.04,0.310764,1.402861
SPCC24B10.14c,0.265159,1.350701
SPCC594.07c,0.407216,1.078165
SPBC337.12,0.38812,1.076056
SPCC970.11c,0.354034,1.169668
SPAC16E8.02,0.354736,1.002007
SPAC6F6.08c,0.332079,1.067721
SPBC1604.01,0.299671,1.029923
SPAC23G3.07c,0.247901,1.052542
