Gene,FC_2d,FC_21d
SPAC3A12.13c,-1.18374,-1.317991
SPBC3D6.09,-1.186552,-1.331258
SPAC22H12.01c,-1.16054,-1.389426
SPAC23A1.12c,-1.172641,-1.397211
SPAC25B8.07c,-1.188867,-1.414606
SPBC83.14c,-1.20115,-1.368914
SPAC343.02,-1.224216,-1.355905
SPCC1020.04c,-1.217439,-1.396654
SPBC543.10,-1.247312,-1.393267
SPAC17A5.15c,-1.004229,-1.53187
SPAP8A3.14c,-1.018821,-1.494217
SPBC28E12.04,-1.051357,-1.545165
SPBC1861.07,-1.058095,-1.518931
SPBC83.17,-1.010096,-1.571887
SPAC824.03c,-1.03595,-1.602534
SPBC2A9.06c,-1.091548,-1.58012
SPBP8B7.11,-1.110694,-1.57085
SPBC19G7.04,-1.132545,-1.447197
SPAC3C7.11c,-1.136972,-1.445885
SPCC1827.03c,-1.139425,-1.445841
SPBC1773.10c,-1.129862,-1.485682
SPAC607.03c,-1.133218,-1.493202
SPCC663.09c,-1.161473,-1.471792
SPAC22A12.03c,-1.152368,-1.52845
SPAC139.01c,-1.161906,-1.520929
SPBC83.15,-1.203497,-1.459648
SPCC1840.10,-1.231266,-1.488611
SPAC25H1.06,-1.256943,-1.482427
SPBC11B10.03,-1.176903,-1.602294
SPAC13G6.02c,-1.200647,-1.579649
SPCC338.14,-1.216764,-1.571714
SPBC21C3.15c,-1.231863,-1.568271
SPAC890.05,-1.245683,-1.521337
SPBC146.12,-1.247557,-1.54522
SPAC17H9.14c,-1.275793,-1.53642
SPCC18.11c,-1.322122,-1.572121
SPAC19G12.16c,-1.337043,-1.529985
SPBC8D2.18c,-1.379122,-1.606856
SPAC3G9.10c,-1.379959,-1.584136
SPBC2F12.08c,-1.447619,-1.609909
SPAC6F12.06,-1.413121,-1.566678
SPAC4G9.14,-1.41766,-1.556461
SPCC1259.15c,-1.422077,-1.576835
SPBC16D10.06,-1.443968,-1.531744
SPCC584.14,-1.447944,-1.558413
SPBC106.16,-1.281084,-1.417452
SPAC1782.07,-1.302566,-1.420319
SPBC15C4.01c,-1.320381,-1.414705
SPBC31F10.12,-1.309436,-1.369908
SPBC12D12.05c,-1.333348,-1.373159
SPAC1F12.07,-1.335639,-1.444511
SPBC21H7.06c,-1.358266,-1.441234
SPBC1539.05,-1.345382,-1.319343
SPCC31H12.06,-1.35383,-1.320062
SPAC22H12.02,-1.367082,-1.322172
SPAC8C9.05,-1.364304,-1.383256
SPCC24B10.05,-1.364406,-1.368303
SPCP20C8.04,-1.376373,-1.395123
SPCC1442.07c,-1.400643,-1.356915
SPCP31B10.05,-1.415967,-1.357686
SPAC18B11.07c,-1.398907,-1.384869
SPBCPT2R1.04c,-1.414117,-1.388584
SPBC13E7.04,-1.420952,-1.374277
SPAC9G1.11c,-1.388394,-1.452097
SPAC26A3.17c,-1.40054,-1.415351
SPBC32F12.06,-1.412432,-1.436369
SPBC211.02c,-1.406763,-1.471312
SPAC2F7.15,-1.411577,-1.477217
SPCC613.12c,-1.418008,-1.485875
SPAC977.01,-1.432273,-1.461516
SPAC4F10.05c,-1.432663,-1.455246
SPAC31A2.02,-1.444026,-1.4651
SPAC1783.03,-1.456546,-1.451753
SPCC1235.08c,-1.475236,-1.434476
SPBC30B4.07c,-1.514424,-1.398606
SPBC409.13,-1.529294,-1.433437
SPBC11B10.05c,-1.507701,-1.579564
SPAC2C4.13,-1.515707,-1.573019
SPBC6B1.12c,-1.545581,-1.568259
SPBP4H10.20,-1.550095,-1.554287
SPAC823.07,-1.574448,-1.60397
SPBC646.07c,-1.598334,-1.613998
SPAC26H5.03,-1.58815,-1.638732
SPBC2A9.10,-1.576758,-1.668956
SPCC2H8.04,-1.5864,-1.677635
SPAC20H4.08,-1.613057,-1.656011
SPBP8B7.01c,-1.61988,-1.653148
SPBC1711.12,-1.62272,-1.681135
SPAC222.03c,-1.574983,-1.572329
SPBC25H2.18,-1.592689,-1.571197
SPAC16E8.10c,-1.603315,-1.578019
SPAC30.02c,-1.624804,-1.584923
SPAPB17E12.11,-1.619092,-1.556275
SPBC3B9.05,-1.631614,-1.546365
SPAC17G6.17,-1.54678,-1.515537
SPBC12D12.06,-1.580186,-1.48027
SPBC16G5.18,-1.640537,-1.489251
SPBC18E5.03c,-1.649725,-1.483922
SPBC1709.18,-1.650945,-1.498349
SPCC162.02c,-1.628005,-1.62718
SPAC7D4.02c,-1.628623,-1.64451
SPBC8D2.15,-1.653272,-1.609484
SPBC577.04,-1.674783,-1.615594
SPAC13G7.08c,-1.676822,-1.60637
SPAC3G6.05,-1.663956,-1.561348
SPBP8B7.31,-1.689247,-1.590277
SPAC1952.06c,-1.699845,-1.568704
SPAC23C4.17,-1.538945,-1.368376
SPAC27E2.10c,-1.544225,-1.350064
SPBC1709.12,-1.608752,-1.373043
SPAC23D3.01,-1.618272,-1.349715
SPAC2G11.04,-1.619518,-1.403048
SPAC1B3.14,-1.631021,-1.415354
SPBC839.05c,-1.669099,-1.389943
SPCC16A11.13,-1.651536,-1.440097
SPCC338.05c,-1.658701,-1.443417
SPBC582.08,-1.696911,-1.470485
SPAC13G7.06,-1.717269,-1.477348
SPAC2F7.05c,-1.720429,-1.451431
SPAC25B8.17,-1.759653,-1.455931
SPCC1840.11,-1.738463,-1.398091
SPAC7D4.09c,-1.750066,-1.368393
SPBC27B12.14,-1.787308,-1.389066
SPAC167.09,-1.764805,-1.536821
SPBC3B9.08c,-1.782971,-1.522142
SPBC31F10.09c,-1.810762,-1.502589
SPBC21H7.05,-1.819998,-1.505286
SPCC736.10c,-1.834718,-1.501969
SPAC4F8.05c,-1.323084,-1.012009
SPAC25G10.06,-1.362392,-1.032782
SPAC1006.08,-1.340471,-1.106026
SPBC725.17c,-1.40126,-1.107108
SPAC23A1.07,-1.370957,-1.050325
SPBC17D1.17,-1.371387,-1.058528
SPAC644.09,-1.378978,-1.06759
SPAC23A1.20,-1.405481,-1.047518
SPBC409.05,-1.485446,-1.117166
SPBC18H10.06c,-1.479455,-1.050338
SPBC14C8.10,-1.502852,-1.061049
SPBC1A4.05,-1.439223,-0.982574
SPAC5H10.09c,-1.437131,-0.949869
SPBC16H5.14c,-1.444886,-0.959138
SPBC36.08c,-1.456974,-0.953032
SPBC21C3.13,-1.498364,-0.973256
SPBC1289.05c,-1.489823,-0.922432
SPAC1610.04,-1.504953,-0.894408
SPAC23H4.11c,-1.555686,-0.969724
SPAC5H10.08c,-1.563502,-0.935226
SPCC790.03,-1.618939,-0.954885
SPAC4F10.12,-1.635857,-0.982012
SPAC3F10.10c,-1.663518,-0.970347
SPBC409.17c,-1.607241,-1.004324
SPCC188.04c,-1.654363,-1.044127
SPCC330.06c,-1.656231,-1.00841
SPAC23H4.18c,-1.402796,-1.194121
SPBC2A9.05c,-1.418783,-1.190279
SPCC1442.05c,-1.418403,-1.249458
SPAC9G1.08c,-1.421314,-1.254112
SPAC1834.10c,-1.4344,-1.226135
SPBC119.16c,-1.454134,-1.245577
SPAC3C7.12,-1.441826,-1.279267
SPBC2A9.12,-1.450979,-1.264985
SPAC1486.07c,-1.473302,-1.19532
SPAC13C5.02,-1.486797,-1.195833
SPBC3H7.04,-1.508464,-1.246781
SPAC14C4.13,-1.511402,-1.212215
SPBC800.08,-1.45082,-1.357493
SPBC530.16,-1.453335,-1.34161
SPCC550.04c,-1.459047,-1.31379
SPAC2G11.15c,-1.500489,-1.291102
SPBC16C6.01c,-1.492638,-1.31008
SPBC19C2.14,-1.50688,-1.311283
SPAC31A2.15c,-1.495899,-1.331633
SPBP8B7.17c,-1.521069,-1.336144
SPAC2F3.04c,-1.578451,-1.249526
SPCC24B10.04,-1.592801,-1.261588
SPBC1773.04,-1.613756,-1.249463
SPAC25H1.10c,-1.592549,-1.179677
SPAC11E3.04c,-1.639149,-1.213617
SPBC106.08c,-1.647841,-1.198553
SPAC22H10.08,-1.650524,-1.236006
SPCC1442.06,-1.65387,-1.121796
SPBC36.06c,-1.658575,-1.128353
SPCC576.03c,-1.411712,-0.619904
SPCC162.03,-1.475148,-0.662134
SPCC1020.11c,-1.518309,-0.63582
SPBP4G3.02,-1.55012,-0.674794
SPAC2C4.08,-1.508151,-0.846416
SPBC359.05,-1.523288,-0.771068
SPBP4H10.21c,-1.569237,-0.722681
SPAC1B3.17,-1.624088,-0.747613
SPCC11E10.09c,-1.679874,-0.643815
SPAC3G6.08,-1.728692,-0.71992
SPBC4B4.01c,-1.628578,-0.872812
SPBC530.13,-1.629217,-0.886119
SPBC1198.01,-1.718061,-0.779825
SPAC1F3.07c,-1.735383,-0.819004
SPAC3G9.03,-1.749145,-0.946829
SPBC1A4.01,-1.765295,-0.923498
SPAC8E11.07c,-1.799753,-0.89925
SPCC1494.11c,-1.711269,-1.061105
SPAC13D6.04c,-1.740383,-1.032857
SPAC1705.02,-1.786807,-1.01674
SPAC2E12.05,-1.755468,-1.122379
SPCC162.05,-1.818008,-1.100074
SPBC15D4.13c,-1.831294,-1.026823
SPAC29B12.12,-1.86874,-1.049847
SPBC428.11,-1.903074,-0.980014
SPBP8B7.05c,-1.915277,-1.006902
SPBC2D10.03c,-1.749055,-1.271035
SPAC6F12.07,-1.780562,-1.257163
SPBC409.09c,-1.863786,-1.250348
SPAC26F1.05,-1.874593,-1.176276
SPAC1610.01,-1.90188,-1.18425
SPBC26H8.01,-1.97153,-0.834831
SPAC11D3.13,-2.024091,-0.835619
SPAPB1E7.04c,-2.091713,-1.003063
SPAC4F8.08,-1.805304,-0.146799
SPCC191.04c,-1.823867,-0.199711
SPBC30B4.08,-1.912461,-0.237805
SPAC8E11.08c,-1.881436,-0.017427
SPAC1F8.05,-2.007773,0.119473
SPCC1919.06c,-2.121747,-0.509614
SPAC1F8.03c,-2.381993,-0.542575
SPAC1834.04,-2.308971,-0.841634
SPAC23H4.05c,-2.522684,-0.799113
SPBC13E7.07,-1.007632,-0.039712
SPBPB2B2.09c,-1.05675,0.055185
SPBPB21E7.09,-1.09759,0.001118
SPAC11D3.10,-1.08967,0.196352
SPCPJ732.03,-1.132911,0.174996
SPAC24B11.14,-1.204363,0.121088
SPCC1442.15c,-1.015815,-0.163738
SPCC18B5.06,-1.038153,-0.268401
SPBC17A3.09c,-1.047094,-0.258803
SPAC821.07c,-1.000882,-0.384447
SPBC713.05,-1.018141,-0.463434
SPCC18.09c,-1.077423,-0.491554
SPAC1F5.05c,-1.092024,-0.480227
SPAP27G11.09c,-1.067616,-0.350188
SPCC1840.09,-1.081992,-0.302857
SPBC15D4.04,-1.136594,-0.336091
SPBPJ4664.01,-1.170425,-0.563737
SPAC57A10.14,-1.211519,-0.572298
SPAC29B12.04,-1.214864,-0.56759
SPAC10F6.01c,-1.187416,-0.502695
SPCC1494.04c,-1.219551,-0.518226
SPAC17A5.19,-1.230898,-0.459475
SPAC1250.03,-1.24581,-0.368574
SPAC27E2.04c,-1.249594,-0.303539
SPCC777.10c,-1.28262,-0.327135
SPBC1683.09c,-1.335766,-0.498739
SPAC1296.03c,-1.399625,-0.378785
SPBC1773.14,-1.408235,-0.422261
SPAC22H10.04,-1.258077,-0.03905
SPBC2G2.10c,-1.390721,-0.219265
SPBC2A9.02,-1.429259,-0.179118
SPAC1F7.14c,-1.543264,-0.026555
SPACUNK4.10,-1.47151,-0.319873
SPBC1289.12,-1.485172,-0.421956
SPAC3G6.06c,-1.535872,-0.391508
SPAC22F8.03c,-1.582851,-0.316784
SPCC622.21,-1.226389,0.721017
SPCC18.15,-1.319418,0.643135
SPAC186.01,-1.44687,0.767821
SPCC191.09c,-1.445399,0.255621
SPAC212.04c,-1.552282,0.363895
SPBC1E8.04,-1.731233,0.570983
SPBC713.03,-1.787902,-2.454593
SPAC30C2.05,-1.816854,-2.44226
SPBC4F6.09,-1.819601,-2.44892
SPCP1E11.07c,-1.827414,-2.541609
SPAC589.04,-1.935144,-2.555772
SPAPYUG7.05,-1.977059,-2.477873
SPBC1198.05,-1.946618,-2.71385
SPBC1709.16c,-1.971412,-2.731017
SPAC9G1.13c,-1.980661,-2.338828
SPAC17C9.09c,-2.059242,-2.301541
SPAC14C4.09,-2.060711,-2.19956
SPAPB1A10.11c,-2.13945,-2.206595
SPBC17G9.06c,-2.146496,-2.206975
SPAP8A3.10,-2.14947,-2.227868
SPBC29A10.15,-2.162836,-2.417594
SPAC16E8.04c,-2.168447,-2.44751
SPAC9E9.13,-2.142229,-2.53444
SPBC839.11c,-2.17117,-2.501447
SPCC777.11,-2.244613,-2.476228
SPCC1620.01c,-2.248783,-2.504683
SPAC4A8.12c,-2.181624,-2.305352
SPAC22A12.05,-2.185442,-2.318068
SPAC212.12,-2.325132,-2.386175
SPBC4F6.08c,-2.123136,-2.639663
SPBC14C8.07c,-2.224613,-2.724798
SPCC126.13c,-2.229725,-2.624922
SPAC3F10.09,-2.345716,-2.739422
SPBC14F5.01,-2.369307,-2.713092
SPBC337.16,-2.305856,-2.558421
SPBC9B6.07,-2.388963,-2.546095
SPBP23A10.03c,-2.343391,-2.619399
SPAP27G11.04c,-2.377264,-2.606528
SPAC12G12.08,-2.164264,-2.036782
SPBC1539.06,-2.192079,-1.953606
SPAC12G12.16c,-2.239281,-1.94607
SPAC1952.14c,-2.320637,-2.008084
SPCC16A11.07,-2.41602,-2.085919
SPBC56F2.14,-2.37568,-2.240272
SPAP27G11.03,-2.384186,-2.174958
SPAC823.14,-2.471668,-2.371251
SPAC23H4.10c,-2.532772,-2.254258
SPAC222.04c,-2.536049,-2.025256
SPBC2F12.11c,-2.552887,-2.067305
SPAC17A2.01,-2.630929,-1.973641
SPBC685.04c,-2.489944,-2.447082
SPAC1250.04c,-2.528303,-2.491073
SPBC12D12.07c,-2.618162,-2.517703
SPAPB1A10.03,-2.651831,-2.622717
SPBC14F5.05c,-2.826849,-2.386693
SPAC227.09,-1.980949,-1.482094
SPCC1442.14c,-1.991566,-1.484755
SPCC126.11c,-2.055941,-1.489014
SPAC222.17,-1.999196,-1.341618
SPCC1442.16c,-2.023291,-1.411716
SPAC2C4.12c,-2.100679,-1.349809
SPAC1F8.06,-2.105011,-1.347963
SPCC70.07c,-2.162324,-1.14028
SPAC20G4.04c,-2.246355,-1.191964
SPCC1739.06c,-1.906104,-1.686792
SPAC1751.02c,-1.941853,-1.684444
SPBC19G7.19,-1.904932,-1.602034
SPBC30D10.21,-1.941462,-1.584345
SPAC56F8.08,-1.98675,-1.570471
SPBC18E5.13,-2.102183,-1.639014
SPAC1F12.04c,-2.108256,-1.56317
SPBC17D1.03c,-2.177828,-1.696542
SPBC1604.25,-2.214192,-1.671645
SPAC3G9.01,-2.253912,-1.612627
SPCC1739.02c,-2.194513,-1.489134
SPAC5H10.12c,-2.234458,-1.497951
SPAC823.15,-2.41467,-1.830405
SPCC330.13,-2.417995,-1.698847
SPAP8A3.11c,-2.537673,-1.704418
SPBC1709.20,-2.456158,-1.58606
SPAC3G9.17,-2.497783,-1.555402
SPAC27E2.02,-2.52582,-1.530852
SPAC1002.16c,-2.533188,-1.55114
SPBC839.07,-2.36182,-1.265336
SPAC9.12c,-2.461243,-1.400235
SPBC1198.03c,-2.489967,-1.384754
SPAC4F10.08,-2.654607,-1.248785
SPBC409.14c,-2.670142,-1.294497
SPBPB8B6.05c,-2.756432,-1.540202
SPCC330.07c,-2.798186,-1.501939
SPBC216.04c,-2.865902,-1.897825
SPAC694.04c,-2.994263,-1.913263
SPAC29B12.05c,-3.101949,-1.772494
SPBC530.07c,-3.10398,-2.162907
SPBC11B10.02c,-3.107719,-2.743869
SPBP35G2.03c,-3.123304,-2.550587
SPAC2E1P3.05c,-3.24199,-2.41129
SPBPB21E7.08,-3.66586,-2.277604
SPBC21.05c,-2.568903,0.180247
SPAC57A10.06,-2.611307,0.377749
SPAC5H10.11,-3.155287,0.207148
SPBPB2B2.08,-3.677392,0.79577
SPCC1884.01,-3.120718,-0.510282
SPAC22A12.02c,-3.471457,-0.935463
SPCP20C8.02c,-3.518688,-1.03772
SPAC56F8.05c,-1.462822,-3.651749
SPBC4B4.11,-1.388107,-2.942555
SPAP14E8.02,-1.484632,-2.958823
SPAC1F12.08,-1.630269,-2.949601
SPBC16A3.16,-1.721943,-2.911339
SPCC4B3.18,-1.807286,-2.918441
SPAC3A11.13,-2.024265,-4.098978
SPBC1652.02,-2.601106,-4.343343
SPAPJ760.03c,-2.706937,-3.985216
SPAC1071.12c,-2.044193,-3.35245
SPCC11E10.08,-2.201361,-3.558677
SPCC1259.16,-2.354741,-3.729128
SPBC9B6.10,-2.479187,-3.457413
SPBC1105.06,-2.159359,-3.149896
SPAC1782.11,-2.261258,-3.058215
SPAC23D3.16,-2.272637,-2.905823
SPBC21.02,-2.425062,-3.229932
SPAC4H3.06,-2.496908,-3.029637
SPBC106.05c,-2.610553,-2.820325
SPAC7D4.07c,-2.660848,-2.787575
SPAC343.01c,-2.645375,-2.729371
SPAC1783.02c,-2.736598,-2.825016
SPCC18.12c,-2.80002,-2.882539
SPAC9.02c,-2.685133,-3.051755
SPAC637.08,-2.733698,-3.050898
SPBC3E7.07c,-2.909627,-3.176723
SPBC2A9.07c,-2.811441,-3.420788
SPBC3H7.07c,-2.842624,-3.384652
SPAC7D4.13c,-3.045575,-3.357726
SPAC12B10.09,-3.145335,-3.460096
SPAC19A8.09,-3.072115,-3.876847
SPAC8E11.10,-3.256805,-2.971996
SPBC106.06,-3.479606,-3.127623
SPBPB10D8.02c,-3.765919,-3.040906
SPAC977.12,-4.002581,-2.975729
SPBC800.12c,-3.518033,-3.619017
SPAC821.09,-3.797733,-3.465055
SPBC17G9.05,-3.806983,-4.085882
SPBC428.03c,-4.347651,-3.672605
SPBC19C2.02,-3.737264,-4.962131
SPBC409.10,-3.794884,-4.601679
SPBC359.04c,-4.304416,-1.879048
