Gene,FC_2d,FC_21d
SPCC338.07c,-0.907288,-1.963588
SPBC14C8.12,-1.038944,-1.982135
SPBC23G7.07c,-1.040256,-1.915262
SPBC3B9.07c,-0.956173,-2.096199
SPAC922.04,-0.988443,-2.121174
SPBC1198.02,-1.037001,-2.123933
SPAC30C2.04,-1.050973,-2.17801
SPAC227.10,-1.03617,-2.075739
SPBC16C6.12c,-1.062702,-2.07262
SPBC29A10.06c,-1.112687,-1.98279
SPAC222.11,-1.179423,-1.947812
SPAP8A3.13c,-1.150401,-2.057318
SPAC630.10,-1.202576,-2.051659
SPBP8B7.12c,-1.242496,-2.021605
SPAC2G11.10c,-1.254977,-1.922581
SPAC343.14c,-1.256126,-1.870841
SPAC12B10.07,-1.278879,-1.997395
SPBC27.05,-1.298503,-2.000986
SPCC1753.04,-1.311741,-1.984096
SPCC16C4.04,-1.115568,-1.784477
SPAC3G9.09c,-1.132721,-1.748369
SPAC23A1.09,-1.165703,-1.75106
SPAC17H9.07,-1.146878,-1.867218
SPCC320.11c,-1.202561,-1.880903
SPAC3H1.05,-1.181373,-1.799882
SPAC25G10.05c,-1.217435,-1.817353
SPBC17G9.09,-1.168604,-1.703137
SPAC1805.02c,-1.180068,-1.69199
SPAC926.02,-1.216058,-1.737653
SPBC1711.08,-1.206609,-1.66652
SPAC23G3.04,-1.232478,-1.660499
SPCC1840.05c,-1.232515,-1.767505
SPAC3H1.13,-1.259728,-1.779629
SPBP8B7.22,-1.2819,-1.807012
SPAC1952.02,-1.282457,-1.772595
SPCC622.14,-1.292904,-1.777715
SPAC1687.01,-1.269302,-1.691221
SPCC645.08c,-1.294817,-1.7417
SPCC4G3.19,-1.291394,-1.713527
SPBC418.02,-1.308516,-1.714079
SPBC1604.13c,-1.275372,-1.644949
SPBC19C2.12,-1.284139,-1.65047
SPAC959.04c,-1.312533,-1.648656
SPAC13G7.09c,-1.345797,-1.720455
SPBC1A4.10c,-1.347558,-1.743566
SPCC830.11c,-1.362915,-1.735944
SPBC16G5.10,-1.376089,-1.728496
SPAC7D4.15c,-1.360565,-1.699575
SPAP27G11.06c,-1.381405,-1.663331
SPCC736.02,-1.345818,-1.841794
SPBC115.03,-1.406466,-1.78588
SPBC119.17,-1.440734,-1.858988
SPAC13G6.04,-1.461917,-1.910769
SPCC16A11.05c,-1.509354,-1.890393
SPCC1450.05c,-1.513813,-1.928299
SPAC637.11,-1.525397,-1.938722
SPBC20F10.09,-1.460388,-1.784324
SPAC823.13c,-1.456588,-1.757498
SPAC3C7.07c,-1.482799,-1.759296
SPCC613.01,-1.489004,-1.811466
SPBC16E9.12c,-1.526758,-1.784594
SPBC2G2.03c,-1.443821,-1.704384
SPAC17C9.15c,-1.460598,-1.733005
SPAC3H1.03,-1.477226,-1.726764
SPCC4B3.05c,-1.520358,-1.666274
SPBC3B9.01,-1.513294,-1.74854
SPBC428.04,-1.544726,-1.728651
SPAC144.12,-1.134758,-2.377046
SPBC31F10.17c,-1.155083,-2.209916
SPAC17H9.11,-1.254357,-2.283239
SPAC57A10.10c,-1.254723,-2.27606
