Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC222.11,-1.179422593,3.47E-14,-1.947811872,1.26E-42,,,,,,
SPAC222.12c,-0.534541611,1.10E-05,-1.398580975,2.48E-37,,,,,,
SPAC222.15,1.075854865,0.176275041,1.845741011,0.007051552,,,,,,
SPAC222.16c,-1.50654735,2.43E-05,-2.426371452,9.99E-09,,,,,,
SPAC222.17,-1.999195777,5.13E-06,-1.34161759,0.002330003,,,,,,
SPAC222.18,-1.164265384,4.26E-06,-0.768375541,0.003641508,,,,,,
SPAC227.04,-0.90229904,0.005061997,-1.141882965,0.000444874,,,,,,
SPAC227.09,-1.980948916,1.92E-21,-1.482094347,7.02E-13,,,,,,
SPAC227.10,-1.036169677,0.160399091,-2.075739047,0.015563913,,,,,,
SPAC227.11c,-0.434775916,0.120901656,-1.078955133,5.84E-05,,,,,,
SPAC227.13c,2.337693768,1.66E-62,2.238528462,5.06E-73,,,,,,
SPAC227.15,1.255897861,3.32E-22,1.437530097,7.42E-44,,,,,,
SPAC227.18,-0.581604172,0.004685118,-1.048004786,1.84E-14,,,,,,
SPAC22A12.02c,-3.471456523,0.002320523,-0.935462614,0.290938991,,,,,,
SPAC22A12.03c,-1.152367583,5.04E-05,-1.528449819,8.37E-08,,,,,,
SPAC22A12.05,-2.185441622,8.87E-21,-2.318068215,3.00E-24,,,,,,
SPAC22A12.06c,1.22193021,8.44E-09,1.987561476,9.01E-82,,,,,,
SPAC22A12.11,1.562182923,2.49E-35,1.24862689,1.09E-14,,,,,,
SPAC22A12.13,-1.00327202,0.000603169,-0.657473452,0.017997178,,,,,,
SPAC22A12.15c,-0.179111746,0.409568497,-1.24753067,1.16E-44,,,,,,
SPAC22A12.17c,0.057264321,0.893457543,1.14642192,0.000211337,,,,,,
SPAC22E12.01,1.843991074,1.16E-27,1.67787194,1.68E-30,,,,,,
SPAC22E12.02,1.185877775,2.33E-07,1.421374903,4.53E-12,,,,,,
SPAC22E12.09c,1.71969643,1.37E-21,1.128968158,1.15E-26,,,,,,
SPAC22E12.11c,3.256650894,3.92E-93,3.458231284,2.25E-184,,,,,,
SPAC22E12.13c,-0.081178686,0.65394885,-1.019959904,4.03E-14,,,,,,
SPAC22E12.14c,2.394488028,9.95E-62,2.560017786,2.71E-110,,,,,,
SPAC22E12.18,-0.710475913,0.000119949,-1.220470858,1.04E-12,,,,,,
SPAC22E12.19,1.236932349,1.67E-17,1.190695821,5.42E-23,,,,,,
SPAC22F3.03c,1.34679288,0.000202415,2.604596796,1.46E-21,,,,,,
SPAC22F3.07c,-1.667998391,3.82E-12,-2.102418771,4.51E-16,,,,,,
SPAC22F3.13,0.885120251,4.68E-11,1.501283919,1.36E-47,,,,,,
SPAC22F3.15,-1.076773398,0.001793741,-0.762058202,0.023189515,,,,,,
SPAC22F8.02c,2.157630383,4.34E-35,1.456281055,2.73E-16,,,,,,
SPAC22F8.03c,-1.582851466,0.224366647,-0.316784079,0.824454513,,,,,,
SPAC22F8.04,2.199587423,2.05E-40,1.795771671,3.16E-36,,,,,,
SPAC22F8.05,4.59205154,3.65E-67,3.863290299,2.03E-66,,,,,,
SPAC22G7.07c,0.318699541,0.170792982,1.395358233,9.30E-17,,,,,,
SPAC22G7.08,0.527647908,0.006832507,1.731715948,1.66E-35,,,,,,
SPAC22H10.02,1.593491027,5.01E-24,1.985187572,1.64E-60,,,,,,
SPAC22H10.04,-1.258076557,0.006188313,-0.039049891,0.931505191,,,,,,
SPAC22H10.08,-1.650524256,8.03E-15,-1.236006176,4.63E-11,,,,,,
SPAC22H10.09,-0.477678818,0.010918719,-1.181708367,2.11E-10,,,,,,
SPAC22H10.13,4.964935312,1.48E-161,5.302863173,7.76E-284,,,,,,
SPAC22H12.01c,-1.160539679,1.31E-06,-1.38942627,1.01E-10,,,,,,
SPAC22H12.02,-1.36708175,3.91E-16,-1.322172426,2.37E-19,,,,,,
SPAC22H12.04c,-1.002878207,6.82E-10,-1.186116301,3.83E-36,,,,,,
SPAC23A1.02c,1.693460913,1.03E-22,1.354679008,1.88E-20,,,,,,
SPAC23A1.03,-1.300197537,6.56E-16,-1.155914135,1.21E-09,,,,,,
SPAC23A1.06c,1.886587767,1.19E-38,1.611326185,4.66E-37,,,,,,
SPAC23A1.07,-1.370956581,1.45E-08,-1.050324942,9.18E-06,,,,,,
SPAC23A1.09,-1.165703437,1.63E-08,-1.751060029,1.20E-15,,,,,,
SPAC23A1.12c,-1.172640775,5.36E-18,-1.397210961,6.21E-36,,,,,,
SPAC23A1.14c,0.855373017,1.85E-10,1.390353237,1.11E-40,,,,,,
SPAC23A1.16c,1.721501882,3.70E-16,1.716802754,4.29E-15,,,,,,
SPAC23A1.17,1.372214434,3.05E-27,2.014469889,1.41E-103,,,,,,
SPAC23A1.20,-1.405481318,2.42E-05,-1.047517812,0.001136842,,,,,,
SPAC23C11.10,-0.605303839,0.146320499,-1.243938045,0.009042976,,,,,,
SPAC23C11.14,-0.795756666,1.51E-08,-1.19958057,1.02E-18,,,,,,
SPAC23C4.04c,1.58231429,3.38E-09,1.758673437,8.92E-13,,,,,,
SPAC23C4.06c,2.876001703,6.72E-06,3.259880958,3.15E-07,,,,,,
SPAC23C4.14,-1.041848106,2.00E-05,-0.943256226,2.34E-08,,,,,,
SPAC23C4.15,-0.603265523,0.000194996,-1.407950974,4.47E-14,,,,,,
SPAC23C4.17,-1.538944809,0.071062451,-1.368376083,0.117289781,,,,,,
SPAC23D3.01,-1.618271588,2.66E-11,-1.349715409,6.90E-12,,,,,,
SPAC23D3.02,-1.673134161,5.03E-15,-2.089112138,1.15E-20,,,,,,
SPAC23D3.12,4.65991507,7.16E-251,5.139891073,0,,,,,,
SPAC23D3.16,-2.27263717,4.07E-05,-2.905822579,2.07E-05,,,,,,
SPAC23E2.01,2.798226238,7.09E-79,3.498943411,5.54E-221,,,,,,
SPAC23E2.03c,4.509722157,3.09E-71,6.013309737,0,,,,,,
SPAC23G3.02c,2.237444596,5.81E-58,2.533845611,1.87E-137,,,,,,
SPAC23G3.04,-1.23247804,3.71E-05,-1.660498759,9.30E-07,,,,,,
SPAC23G3.06,-0.249412219,0.091254674,-1.256212787,1.80E-35,,,,,,
SPAC23G3.07c,0.247901218,0.239063985,1.052541776,4.19E-11,,,,,,
SPAC23H3.03c,-0.893556423,0.000575083,-1.05255921,3.06E-05,,,,,,
SPAC23H3.04,2.646775656,4.84E-23,2.272753328,2.34E-18,,,,,,
SPAC23H3.13c,1.325793782,1.79E-13,1.439217702,1.18E-28,,,,,,
SPAC23H4.02,0.341112271,0.044058199,1.311453801,2.31E-24,,,,,,
SPAC23H4.03c,-0.798483854,1.99E-06,-1.01941747,2.36E-17,,,,,,
SPAC23H4.05c,-2.522684242,0.003325439,-0.799112769,0.273994768,,,,,,
SPAC23H4.06,0.915231845,4.48E-07,1.87118075,8.90E-70,,,,,,
SPAC23H4.07c,-1.29946862,1.00E-09,-1.25395615,1.66E-09,,,,,,
SPAC23H4.08,-1.022198945,3.80E-05,-0.806984801,0.000356879,,,,,,
SPAC23H4.10c,-2.532772031,4.76E-62,-2.254257631,5.33E-94,,,,,,
SPAC23H4.11c,-1.555685751,4.09E-10,-0.969723922,3.38E-06,,,,,,
SPAC23H4.12,-1.102026036,1.09E-09,-1.215434695,1.83E-11,,,,,,
SPAC23H4.18c,-1.402796019,6.36E-07,-1.194121045,1.20E-05,,,,,,
SPAC24B11.05,1.976038466,3.14E-33,2.579104203,1.92E-75,,,,,,
SPAC24B11.09,3.197676398,7.98E-115,2.796948313,1.15E-116,,,,,,
SPAC24B11.10c,1.095292582,8.13E-15,1.089167978,1.68E-18,,,,,,
SPAC24B11.12c,2.135870426,3.91E-61,1.857371722,3.24E-48,,,,,,
SPAC24B11.14,-1.204363475,0.34750394,0.121087728,0.931505191,,,,,,
SPAC24C9.03,-1.032155069,0.01248727,-1.386623332,0.001370905,,,,,,
SPAC24C9.04,-1.637812679,1.38E-10,-2.513507548,8.43E-23,,,,,,
SPAC24C9.09,-0.55288472,0.009194702,-1.114120664,5.96E-08,,,,,,
SPAC24H6.01c,-0.874214463,0.000186366,-1.072688778,2.28E-06,,,,,,
SPAC24H6.05,1.734689753,6.17E-35,1.163206889,5.53E-20,,,,,,
SPAC24H6.09,1.636191482,1.99E-35,1.311212268,8.94E-38,,,,,,
SPAC24H6.11c,1.951010056,1.30E-12,1.913543017,9.75E-13,,,,,,
SPAC24H6.13,2.691408502,1.02E-57,2.276364921,2.44E-65,,,,,,
SPAC25A8.02,1.143100098,1.12E-10,1.479477264,1.74E-30,,,,,,
SPAC25B8.03,1.416978864,1.35E-28,1.462312358,2.31E-31,,,,,,
SPAC25B8.06c,-1.871710668,8.55E-14,-1.936322409,1.33E-15,,,,,,
SPAC25B8.07c,-1.188867326,0.003077341,-1.414605753,3.63E-05,,,,,,
SPAC25B8.13c,4.999091852,3.08E-155,5.722201543,0,,,,,,
SPAC25B8.16,-1.083024748,1.10E-08,-0.770285571,1.70E-07,,,,,,
SPAC25B8.17,-1.759652632,7.04E-20,-1.455930674,2.75E-17,,,,,,
SPAC25B8.19c,2.73733729,5.78E-63,3.1333751,2.43E-176,,,,,,
SPAC25G10.01,1.577955929,5.51E-16,2.244871449,6.47E-94,,,,,,
SPAC25G10.02,-1.773921863,0.001310409,-1.938172604,0.001176127,,,,,,
SPAC25G10.03,0.896220702,1.77E-12,1.36598218,1.88E-30,,,,,,
SPAC25G10.05c,-1.217434708,9.69E-14,-1.817353082,1.57E-49,,,,,,
SPAC25G10.06,-1.362391922,1.13E-12,-1.032782155,2.35E-10,,,,,,
SPAC25G10.07c,1.352335683,8.89E-23,1.482218815,4.61E-35,,,,,,
SPAC25G10.08,-0.626827498,0.000218072,-1.246582068,4.93E-31,,,,,,
SPAC25G10.09c,1.542296591,4.71E-24,1.88691088,1.58E-86,,,,,,
SPAC25H1.05,-1.26927748,2.38E-10,-2.151315058,2.11E-21,,,,,,
SPAC25H1.06,-1.256943469,9.04E-11,-1.482426872,5.58E-16,,,,,,
SPAC25H1.07,-0.849601698,3.35E-09,-1.355710894,6.46E-31,,,,,,
SPAC25H1.10c,-1.592549252,7.21E-11,-1.179677235,8.73E-09,,,,,,
SPAC26A3.09c,1.275868098,3.47E-21,1.176590388,3.93E-20,,,,,,
SPAC26A3.10,1.729882806,8.36E-32,1.545682035,2.11E-41,,,,,,
SPAC26A3.17c,-1.400539838,0.013287303,-1.41535135,0.017776516,,,,,,
SPAC26F1.04c,1.752858183,1.38E-18,1.445986206,5.49E-14,,,,,,
SPAC26F1.05,-1.874592605,0.02158186,-1.176275861,0.099034691,,,,,,
SPAC26F1.07,-1.166864173,2.65E-17,-1.22802801,2.67E-18,,,,,,
SPAC26F1.10c,3.904038634,3.46E-77,3.429408898,1.02E-171,,,,,,
SPAC26F1.11,3.613370092,5.53E-48,4.120652484,6.37E-59,,,,,,
SPAC26F1.14c,3.75142422,4.93E-79,3.503052909,2.53E-173,,,,,,
SPAC26H5.03,-1.588149786,4.05E-08,-1.638731911,3.85E-08,,,,,,
SPAC26H5.05,1.849547601,1.96E-47,1.779318145,3.89E-72,,,,,,
SPAC26H5.08c,2.729811567,7.89E-41,1.525162767,7.68E-38,,,,,,
SPAC27D7.03c,7.389760085,6.01E-283,6.058818569,1.28E-205,,,,,,
SPAC27D7.09c,-0.673717016,0.127423898,-2.444734649,1.46E-24,,,,,,
SPAC27D7.11c,-2.057270118,1.80E-42,-2.07988533,1.66E-59,,,,,,
SPAC27D7.13c,1.350372985,2.88E-07,1.012229696,0.000355432,,,,,,
SPAC27E2.02,-2.525819926,0.019775547,-1.530851627,0.149779222,,,,,,
SPAC27E2.03c,-0.542113486,0.000840588,-1.279697679,1.04E-34,,,,,,
SPAC27E2.04c,-1.249593539,0.224236586,-0.303538522,0.773072217,,,,,,
SPAC27E2.09,1.40631014,1.87E-28,2.006286349,1.33E-90,,,,,,
SPAC27E2.10c,-1.544224533,3.26E-08,-1.350063559,4.46E-07,,,,,,
SPAC27F1.04c,-1.332482789,1.86E-08,-0.922127355,0.000215519,,,,,,
SPAC27F1.06c,-0.228191008,0.256412364,-1.452996818,1.99E-34,,,,,,
SPAC27F1.09c,1.158332408,4.72E-17,1.205867464,4.71E-32,,,,,,
SPAC29A4.02c,-0.496037146,0.002399867,-1.329256206,5.90E-40,,,,,,
SPAC29A4.03c,-0.886539124,1.60E-06,-1.054774832,1.04E-08,,,,,,
SPAC29A4.05,-1.224335665,4.17E-07,-0.83391612,3.99E-06,,,,,,
SPAC29A4.11,5.097655349,1.99E-182,4.932493212,9.68E-293,,,,,,
SPAC29A4.14c,-1.071058626,0.000383956,-0.951981415,0.00117652,,,,,,
SPAC29A4.15,-0.503954617,0.000127355,-1.057189153,1.82E-21,,,,,,
SPAC29A4.17c,2.807114944,2.37E-33,2.634534835,2.61E-29,,,,,,
SPAC29B12.01,1.675343672,2.36E-42,1.564466583,3.51E-38,,,,,,
SPAC29B12.04,-1.214863526,3.42E-08,-0.567590493,5.42E-08,,,,,,
SPAC29B12.05c,-3.101949341,0.008070919,-1.77249396,0.107312222,,,,,,
SPAC29B12.07,0.967046172,5.23E-12,1.42668756,1.08E-41,,,,,,
SPAC29B12.08,0.033531882,0.829925798,1.246451322,2.97E-13,,,,,,
SPAC29B12.12,-1.868740227,8.37E-05,-1.049847443,0.014144794,,,,,,
SPAC29E6.01,1.139654457,2.00E-12,2.150034984,1.49E-64,,,,,,
SPAC29E6.06c,-0.353674747,0.041422786,-1.340970576,4.05E-27,,,,,,
SPAC29E6.08,0.757779582,8.29E-07,1.473815709,2.32E-34,,,,,,
SPAC2C4.03c,-1.011941062,1.65E-07,-1.196399014,2.90E-11,,,,,,
SPAC2C4.04c,-1.233956367,2.10E-09,-1.316309239,8.43E-12,,,,,,
SPAC2C4.07c,1.488766972,1.83E-24,1.74813711,4.56E-54,,,,,,
SPAC2C4.08,-1.508151465,0.000131987,-0.84641587,0.021155648,,,,,,
SPAC2C4.10c,-1.378719284,0.00455554,-0.720731162,0.117711093,,,,,,
SPAC2C4.11c,-0.831932473,1.19E-07,-1.230221027,1.78E-15,,,,,,
SPAC2C4.12c,-2.100678644,5.20E-16,-1.349808684,5.01E-09,,,,,,
SPAC2C4.13,-1.51570679,1.99E-07,-1.57301922,1.55E-12,,,,,,
SPAC2C4.17c,2.886567682,2.26E-97,2.247554978,3.17E-90,,,,,,
SPAC2E12.02,1.461626306,1.06E-23,1.413670186,9.10E-40,,,,,,
SPAC2E12.03c,2.22792855,1.46E-27,3.056413604,3.07E-89,,,,,,
SPAC2E12.05,-1.755467561,0.000738602,-1.122379382,0.008978682,,,,,,
SPAC2E1P3.04,3.28302895,5.02E-107,3.900211865,2.37E-218,,,,,,
SPAC2E1P3.05c,-3.241990311,2.09E-75,-2.411289634,4.98E-36,,,,,,
SPAC2F3.04c,-1.578450616,2.15E-10,-1.249525679,1.86E-10,,,,,,
SPAC2F3.05c,1.605121033,4.02E-11,1.117150368,1.04E-13,,,,,,
SPAC2F3.08,2.164384354,4.61E-28,2.389828954,1.30E-27,,,,,,
SPAC2F7.03c,0.944702721,1.35E-11,1.253662597,3.66E-24,,,,,,
SPAC2F7.04,-1.233915544,6.48E-10,-1.018286419,3.83E-08,,,,,,
SPAC2F7.05c,-1.720428984,9.08E-34,-1.4514314,1.71E-51,,,,,,
SPAC2F7.11,4.072116695,3.56E-153,4.185222341,4.57E-253,,,,,,
SPAC2F7.13c,-0.799572308,3.33E-08,-1.55845995,5.85E-39,,,,,,
SPAC2F7.14c,-1.264340107,2.33E-11,-1.11539125,1.10E-10,,,,,,
SPAC2F7.15,-1.411576905,1.29E-10,-1.477216882,1.71E-13,,,,,,
SPAC2F7.17,-1.267770657,0.00648873,-2.172096819,0.000179454,,,,,,
SPAC2G11.04,-1.619518249,6.80E-12,-1.403047729,1.08E-10,,,,,,
SPAC2G11.09,1.198994153,3.22E-09,1.281162843,2.33E-18,,,,,,
SPAC2G11.10c,-1.254976531,0.324756049,-1.922580555,0.175465933,,,,,,
SPAC2G11.11c,-0.639553318,0.096756768,-1.502750667,0.000658158,,,,,,
SPAC2G11.13,1.647614788,1.19E-13,2.088579359,9.92E-29,,,,,,
SPAC2G11.15c,-1.500489051,4.92E-08,-1.29110164,9.16E-07,,,,,,
SPAC2H10.01,4.157981524,2.18E-36,1.164060524,6.09E-05,,,,,,
SPAC2H10.04,5.28422638,1.97E-11,5.856146096,7.51E-14,,,,,,
SPAC30.02c,-1.624804462,1.67E-10,-1.584922533,6.18E-12,,,,,,
SPAC30.03c,-0.406022193,0.160895994,-1.163156799,0.000212318,,,,,,
SPAC30.04c,1.105439904,3.56E-16,1.212692988,3.42E-34,,,,,,
SPAC30C2.02,-0.133834344,0.614702095,-1.63279909,1.76E-20,,,,,,
SPAC30C2.04,-1.050973307,3.91E-16,-2.178010178,3.91E-74,,,,,,
SPAC30C2.05,-1.816853865,6.18E-10,-2.44225955,1.64E-12,,,,,,
SPAC30C2.06c,-1.091553281,1.51E-05,-0.91953394,9.03E-06,,,,,,
SPAC30C2.07,-1.184153983,3.75E-09,-1.299911506,2.20E-25,,,,,,
SPAC30D11.01c,2.114338093,3.60E-46,1.361987553,1.57E-21,,,,,,
SPAC30D11.05,-1.066941082,0.02394498,-1.361776278,0.009086834,,,,,,
SPAC30D11.10,-0.119372921,0.831554407,1.082687111,0.001223872,,,,,,
SPAC31A2.02,-1.44402622,0.270645163,-1.4651001,0.32093681,,,,,,
SPAC31A2.05c,1.158099776,3.61E-11,1.034618656,8.84E-15,,,,,,
SPAC31A2.06,-1.158005346,2.77E-06,-1.278076131,6.22E-15,,,,,,
SPAC31A2.11c,1.230365441,1.00E-15,1.170236657,1.29E-17,,,,,,
SPAC31A2.12,1.474822724,2.73E-28,1.254192473,1.04E-27,,,,,,
SPAC31A2.15c,-1.495899425,1.47E-06,-1.331632948,5.12E-05,,,,,,
SPAC31G5.04,-1.004703169,6.44E-06,-0.835078521,3.98E-06,,,,,,
SPAC31G5.08,-0.689094347,0.002796435,-1.56730967,3.16E-10,,,,,,
SPAC31G5.11,2.71043602,1.27E-29,2.553938818,2.71E-175,,,,,,
SPAC31G5.12c,1.927701965,2.17E-29,2.304833656,5.25E-53,,,,,,
SPAC31G5.14,-0.628253196,0.001064739,-1.32310073,5.27E-12,,,,,,
SPAC31G5.18c,1.521895404,4.81E-15,1.874036803,1.60E-36,,,,,,
SPAC31G5.19,0.84827134,6.85E-07,1.07422869,8.99E-22,,,,,,
SPAC323.07c,1.677227614,1.80E-29,1.312570957,3.46E-26,,,,,,
SPAC328.02,1.421760773,6.06E-14,1.084873338,2.58E-15,,,,,,
SPAC328.03,1.995880019,7.02E-23,1.687630557,2.06E-27,,,,,,
SPAC328.04,1.389966022,2.64E-22,1.824147452,3.62E-55,,,,,,
SPAC328.08c,0.964743536,3.25E-06,1.362253241,2.12E-14,,,,,,
SPAC32A11.01,3.118866033,6.97E-71,3.102427147,1.46E-50,,,,,,
SPAC32A11.02c,4.089690056,5.76E-120,2.32977433,1.56E-29,,,,,,
SPAC32A11.03c,2.264120213,2.68E-66,2.286568629,1.94E-82,,,,,,
SPAC32A11.04c,-0.960802852,9.17E-14,-1.40986195,3.72E-44,,,,,,
SPAC343.01c,-2.645374731,0.0294469,-2.729370664,0.039633426,,,,,,
SPAC343.02,-1.224216475,5.74E-11,-1.355905366,5.87E-15,,,,,,
SPAC343.11c,1.697862161,6.80E-37,1.71540766,3.73E-52,,,,,,
SPAC343.12,3.271010733,3.22E-31,2.219641246,7.10E-19,,,,,,
SPAC343.13,-2.059279974,1.24E-16,-1.943810029,7.90E-15,,,,,,
SPAC343.14c,-1.256126263,3.99E-13,-1.870840668,1.20E-36,,,,,,
SPAC343.20,2.986770335,1.27E-15,3.247719627,7.81E-20,,,,,,
SPAC343.21,-0.483614034,0.252144419,1.562101012,1.23E-09,,,,,,
SPAC3A11.06,1.370027734,3.28E-11,1.712465608,2.61E-23,,,,,,
SPAC3A11.07,0.612732372,1.37E-05,1.150198982,1.10E-24,,,,,,
SPAC3A11.09,0.919268088,1.17E-10,1.435545281,2.85E-33,,,,,,
SPAC3A11.10c,1.333625445,7.28E-19,1.857665977,2.11E-71,,,,,,
SPAC3A11.13,-2.024264589,1.80E-06,-4.098977944,2.47E-09,,,,,,
SPAC3A12.04c,-0.652443356,0.041874549,-1.219106295,0.000247918,,,,,,
SPAC3A12.07,-1.055291582,1.01E-06,-1.236592428,1.10E-08,,,,,,
SPAC3A12.09c,-1.052532628,0.000145743,-0.539748176,0.037264033,,,,,,
SPAC3A12.10,-0.956659034,2.12E-06,-1.089018442,2.76E-23,,,,,,
SPAC3A12.13c,-1.183739795,4.24E-13,-1.317991376,7.44E-18,,,,,,
SPAC3A12.16c,-1.808743773,5.33E-22,-1.725668865,3.40E-32,,,,,,
SPAC3A12.19,1.858006272,1.67E-18,2.041638075,1.35E-23,,,,,,
SPAC3C7.01c,-1.141084857,1.10E-10,-1.197603848,1.70E-13,,,,,,
SPAC3C7.02c,4.376121166,5.02E-177,5.061197342,4.72E-226,,,,,,
SPAC3C7.03c,1.43794802,5.51E-11,1.790304832,2.25E-19,,,,,,
SPAC3C7.05c,2.914943142,4.46E-43,2.458306354,5.53E-67,,,,,,
SPAC3C7.06c,2.946036124,6.66E-52,2.694783921,2.82E-45,,,,,,
SPAC3C7.07c,-1.482799227,5.21E-13,-1.759296038,1.04E-17,,,,,,
SPAC3C7.11c,-1.136971563,5.62E-16,-1.445884989,1.66E-56,,,,,,
SPAC3C7.12,-1.441825646,0.053388265,-1.27926739,0.098635173,,,,,,
SPAC3C7.13c,1.619991174,2.77E-24,1.727087381,1.97E-40,,,,,,
SPAC3F10.02c,-1.184245003,0.003958973,-0.988499597,0.008200328,,,,,,
SPAC3F10.03,-1.019870885,1.54E-15,-1.843201424,5.25E-48,,,,,,
SPAC3F10.07c,0.653429961,0.001367557,1.029257521,7.05E-07,,,,,,
SPAC3F10.09,-2.345716289,7.14E-17,-2.739422385,7.77E-21,,,,,,
SPAC3F10.10c,-1.663517758,0.001744743,-0.970347064,0.050097429,,,,,,
SPAC3F10.11c,2.017335153,1.05E-25,1.629940913,2.31E-60,,,,,,
SPAC3F10.15c,1.056190678,2.28E-07,1.216188301,3.30E-10,,,,,,
SPAC3F10.17,1.538144505,4.51E-25,1.161119646,9.01E-26,,,,,,
SPAC3F10.18c,-1.55811689,1.39E-23,-1.818217328,1.14E-36,,,,,,
SPAC3G6.05,-1.663955793,7.31E-18,-1.561347603,5.05E-18,,,,,,
SPAC3G6.06c,-1.535871716,0.036737494,-0.391508333,0.570870761,,,,,,
SPAC3G6.07,2.940561165,0.001385359,5.058859853,2.22E-13,,,,,,
SPAC3G6.08,-1.728692434,1.90E-11,-0.719920155,0.000424107,,,,,,
SPAC3G6.11,-1.305307524,1.55E-10,-0.902880698,7.19E-07,,,,,,
SPAC3G9.01,-2.253911695,1.94E-17,-1.612627357,1.20E-15,,,,,,
SPAC3G9.03,-1.749144674,8.99E-26,-0.946829225,1.49E-14,,,,,,
SPAC3G9.04,-1.366067911,6.18E-08,-0.870633592,8.14E-05,,,,,,
SPAC3G9.06,-1.852922787,1.69E-41,-2.044677853,2.26E-68,,,,,,
SPAC3G9.09c,-1.13272105,4.25E-14,-1.748368879,1.08E-29,,,,,,
SPAC3G9.10c,-1.379959158,3.21E-09,-1.584135999,2.26E-16,,,,,,
SPAC3G9.11c,5.597600709,0,8.010472522,0,,,,,,
SPAC3G9.12,1.199525126,0.000444636,2.176013778,5.04E-12,,,,,,
SPAC3G9.15c,-1.110014767,8.73E-11,-1.204391743,2.66E-12,,,,,,
SPAC3G9.17,-2.497783286,5.61E-09,-1.555401932,2.36E-05,,,,,,
SPAC3H1.01c,-1.27738464,1.88E-07,-0.975558555,3.45E-10,,,,,,
SPAC3H1.03,-1.477226352,3.51E-05,-1.726764117,1.88E-06,,,,,,
SPAC3H1.05,-1.181372865,3.57E-09,-1.799881959,1.67E-34,,,,,,
SPAC3H1.06c,2.875779555,5.91E-80,2.812119229,8.11E-60,,,,,,
SPAC3H1.11,3.051199006,5.83E-122,3.065802541,8.61E-166,,,,,,
SPAC3H1.13,-1.25972789,0.001654974,-1.779628572,9.92E-05,,,,,,
SPAC3H5.09c,2.075099085,1.36E-58,2.540683343,4.98E-130,,,,,,
SPAC3H5.10,-1.155789661,6.56E-11,-1.294589481,2.07E-29,,,,,,
SPAC3H8.06,2.549697443,3.47E-41,2.28326652,2.53E-95,,,,,,
SPAC3H8.09c,0.913221123,0.00103107,1.082191785,9.43E-06,,,,,,
SPAC3H8.10,-1.068082965,7.00E-11,-1.357067707,3.72E-31,,,,,,
SPAC458.02c,-0.749490453,8.27E-09,-1.539708132,3.32E-47,,,,,,
SPAC458.04c,1.788780813,0.000111035,1.995460363,1.51E-05,,,,,,
SPAC4A8.02c,1.322725891,1.39E-08,1.091539108,1.05E-06,,,,,,
SPAC4A8.04,4.058223695,3.81E-131,4.90866161,1.80E-303,,,,,,
SPAC4A8.07c,-0.374973656,0.055821687,-1.002259009,1.95E-09,,,,,,
SPAC4A8.08c,1.696968185,5.05E-07,1.41572078,5.66E-05,,,,,,
SPAC4A8.09c,-1.047592853,2.11E-08,-0.560230237,0.000557438,,,,,,
SPAC4A8.12c,-2.181623587,2.10E-18,-2.305352373,2.05E-20,,,,,,
SPAC4C5.01,1.071793354,0.026268797,1.480687449,0.000844571,,,,,,
SPAC4D7.02c,2.057656551,6.70E-30,2.182435056,1.35E-45,,,,,,
SPAC4D7.07c,-1.059813675,1.15E-07,-0.865507086,2.19E-06,,,,,,
SPAC4D7.10c,-1.216803356,0.077350571,-1.156626786,0.105466438,,,,,,
SPAC4F10.04,-1.085055873,0.000397563,-0.708421832,0.006000608,,,,,,
SPAC4F10.05c,-1.432663371,0.274530109,-1.455246153,0.324386896,,,,,,
SPAC4F10.06,-0.446434495,0.00933585,-1.389458094,1.79E-20,,,,,,
SPAC4F10.07c,2.855767699,5.77E-104,3.363004936,2.42E-153,,,,,,
SPAC4F10.08,-2.654607257,0.028512958,-1.248785112,0.304793012,,,,,,
SPAC4F10.10c,-0.534549203,0.000164256,-1.095612641,3.58E-18,,,,,,
SPAC4F10.12,-1.635856938,2.06E-07,-0.982011937,0.000135444,,,,,,
SPAC4F10.16c,1.298058162,6.96E-19,1.454813737,1.85E-34,,,,,,
SPAC4F10.19c,-1.110826338,0.003150973,-1.141299167,0.001010305,,,,,,
SPAC4F8.03,-1.390647279,3.88E-12,-2.194192897,5.68E-32,,,,,,
SPAC4F8.04,-0.634174514,0.000411849,-1.627769372,1.49E-18,,,,,,
SPAC4F8.05c,-1.32308358,6.20E-07,-1.012009384,1.26E-05,,,,,,
SPAC4F8.07c,1.429189083,2.41E-34,1.057683697,8.75E-12,,,,,,
SPAC4F8.08,-1.805304283,0.160696046,-0.146799395,0.915429733,,,,,,
SPAC4F8.10c,1.047775948,2.19E-10,1.225171929,4.34E-19,,,,,,
SPAC4F8.12c,2.171485567,6.92E-67,2.255162913,8.45E-124,,,,,,
SPAC4F8.13c,2.194839306,3.82E-65,1.819200528,3.67E-50,,,,,,
SPAC4F8.15,-0.835708355,5.43E-05,-1.652406524,6.55E-28,,,,,,
SPAC4G8.02c,-0.976551892,6.94E-06,-1.489609101,1.46E-14,,,,,,
SPAC4G8.03c,1.429127149,1.53E-14,1.587141697,7.62E-40,,,,,,
SPAC4G8.04,1.773404799,1.84E-36,1.755117902,2.52E-48,,,,,,
SPAC4G8.06c,-0.69907002,0.000135554,-1.057389634,2.78E-09,,,,,,
SPAC4G9.04c,0.887534369,1.66E-10,1.06480191,3.76E-12,,,,,,
