Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC12B10.10,-0.825651885,0.001847433,-1.045115228,8.78E-05,,,,,,
SPAC12B10.11,-1.122902701,NA,-1.136602991,0.449841267,,,,,,
SPAC12G12.01c,-1.087320632,1.34E-07,-1.083494586,3.17E-14,,,,,,
SPAC12G12.02,-0.815290908,0.007848757,-1.207364912,0.000231763,,,,,,
SPAC12G12.03,2.504864881,5.98E-94,2.305220002,1.39E-116,,,,,,
SPAC12G12.05c,-1.096597419,2.01E-10,-0.541744958,0.000162778,,,,,,
SPAC12G12.06c,-0.766131229,2.43E-06,-1.656883286,1.94E-26,,,,,,
SPAC12G12.07c,-0.552630298,0.001282806,-1.190583254,3.41E-22,,,,,,
SPAC12G12.08,-2.164263935,6.04E-16,-2.036782294,4.26E-14,,,,,,
SPAC12G12.09,0.984977612,2.16E-09,1.096206553,1.77E-14,,,,,,
SPAC12G12.11c,-0.907469424,3.91E-08,-1.00324052,1.49E-12,,,,,,
SPAC12G12.16c,-2.239281326,0.000209831,-1.946069763,0.001625758,,,,,,
SPAC1327.01c,0.610863744,1.23E-05,1.334479651,1.32E-21,,,,,,
SPAC139.01c,-1.16190606,3.92E-11,-1.520928516,1.27E-30,,,,,,
SPAC139.06,-1.945645833,7.80E-17,-2.068957555,1.12E-19,,,,,,
SPAC1399.01c,2.187841001,5.60E-34,2.260179819,2.52E-56,,,,,,
SPAC1399.02,2.158152607,3.02E-31,1.946695065,1.17E-37,,,,,,
SPAC1399.03,2.59330813,6.56E-93,4.034582584,2.68E-266,,,,,,
SPAC1399.05c,1.63775571,8.96E-13,1.769273447,3.38E-16,,,,,,
SPAC1399.06,0.267341375,0.289912085,1.252835935,6.25E-06,,,,,,
SPAC13A11.03,3.813238938,6.42E-91,5.188254376,8.53E-280,,,,,,
SPAC13C5.01c,-0.801475564,1.38E-08,-1.17061853,6.13E-22,,,,,,
SPAC13C5.02,-1.486796946,1.57E-13,-1.195832785,2.66E-13,,,,,,
SPAC13D6.03c,-1.011439834,6.94E-05,-1.191252981,4.75E-07,,,,,,
SPAC13D6.04c,-1.740383373,4.13E-15,-1.0328573,7.82E-09,,,,,,
SPAC13F5.02c,1.367399397,6.52E-13,1.195614788,5.52E-19,,,,,,
SPAC13F5.03c,8.397721086,0,9.818104715,0,,,,,,
SPAC13G6.02c,-1.200647449,1.23E-15,-1.579648646,7.34E-47,,,,,,
SPAC13G6.04,-1.461917438,1.33E-05,-1.910768715,1.51E-07,,,,,,
SPAC13G6.11c,-1.168205205,2.34E-11,-0.982753221,9.06E-13,,,,,,
SPAC13G6.12c,1.56958992,7.25E-13,1.412827037,6.64E-14,,,,,,
SPAC13G7.02c,1.671037015,1.23E-07,1.511286727,3.59E-13,,,,,,
SPAC13G7.04c,1.906096328,5.98E-49,1.27780308,2.48E-29,,,,,,
SPAC13G7.06,-1.717269205,4.19E-21,-1.477347571,3.50E-25,,,,,,
SPAC13G7.08c,-1.676822454,1.38E-24,-1.606370216,3.05E-28,,,,,,
SPAC13G7.09c,-1.34579665,0.000314796,-1.720455455,1.14E-05,,,,,,
SPAC13G7.13c,1.140391386,7.39E-10,1.827494447,1.18E-57,,,,,,
SPAC140.02,-0.409700623,0.01933199,-2.042614619,1.64E-20,,,,,,
SPAC144.06,-0.959255929,0.000254818,-1.068101423,7.71E-12,,,,,,
SPAC144.12,-1.134758296,2.96E-12,-2.37704564,8.82E-48,,,,,,
SPAC144.13c,2.069428632,1.38E-35,1.957843883,8.36E-37,,,,,,
SPAC1486.06,-0.72153157,1.18E-05,-1.379887227,2.09E-18,,,,,,
SPAC1486.07c,-1.473302359,7.21E-09,-1.195320406,3.84E-07,,,,,,
SPAC1486.08,-1.239164131,0.00376585,-1.114673723,0.008331447,,,,,,
SPAC1486.09,-0.359810579,0.048104158,-1.00032099,6.41E-13,,,,,,
SPAC14C4.01c,1.96891108,0.000154291,3.304218848,5.30E-17,,,,,,
SPAC14C4.03,1.086001626,0.006594773,1.630133913,4.00E-06,,,,,,
SPAC14C4.07,1.634699067,4.03E-33,1.477763201,7.32E-39,,,,,,
SPAC14C4.09,-2.060711271,5.00E-37,-2.199559904,5.26E-51,,,,,,
SPAC14C4.13,-1.511401864,3.79E-10,-1.212215257,5.02E-08,,,,,,
SPAC1527.01,0.873384311,4.25E-10,1.490222978,6.64E-42,,,,,,
SPAC1556.01c,1.007654032,1.01E-07,1.408441337,6.05E-16,,,,,,
SPAC1556.07,-0.731834917,1.93E-07,-1.399441046,6.87E-33,,,,,,
SPAC1565.06c,-0.426838115,0.157027526,-1.150089366,1.51E-05,,,,,,
SPAC15A10.03c,1.489083446,3.31E-16,1.250741412,1.67E-22,,,,,,
SPAC15A10.04c,-0.598485058,0.000179072,-1.190625291,4.41E-23,,,,,,
SPAC15A10.07,-1.123166394,2.93E-07,-0.660598994,0.000837872,,,,,,
SPAC15A10.08,-1.606401672,4.09E-05,-1.925741263,4.05E-07,,,,,,
SPAC15A10.11,1.11970203,3.90E-20,1.158249089,1.30E-30,,,,,,
SPAC15A10.16,1.262811514,2.97E-23,1.423514445,1.71E-45,,,,,,
